Depth (m),delta13C-C1,delta13C-C2,delta13C-C3,delta13C-CO2,delta-2H C1,Comment
3180,-49.2,-32.3,-31.6,-17.1,-176.3,
3390,-55.2,-35.4,-34.2,-19.6,-196.5,
3510,-51.2,-34.5,-31.2,-20.2,-178.9,
3690,-53.2,-36.9,-33.8,-18.5,-168.3,
3780,-51.2,-35.8,-33.6,-19.9,-174.1,
3870,-50.1,-34.7,-32.2,-13.9,-181.8,
3960,-53.4,-34.9,,-14.2,-168.5,
3990,-50.2,-34.5,-33.6,-13.9,-169.9,
4020,-49.1,,,-12.0,-168.0,
4050,-50.0,,,-13.8,-166.3,
4673.5,-47.2,-37.5,,-17.1,-184.4,C2+DBM-affected
4720,-42.4,-35.7,,-17.7,-176.7,C2+DBM-affected
4895.5,-42.5,-32.9,-30.0,-15.8,-200.1,
5095,-46.5,-40.8,,-18.0,-180.8,C2+DBM-affected
5103,-46.1,-40.1,-39.2,-17.6,-178.5,C2+DBM-affected
5110,-46.2,-40.9,-39.8,-16.5,-184.2,C2+DBM-affected
5113,-45.8,-41.2,-39.4,-17.4,-183.0,C2+DBM-affected
5120,-45.9,-42.0,,-16.6,-179.6,C2+DBM-affected
5290,-44.0,-39.7,-36.3,-20.7,-161.0,C2+DBM-affected
5320,-44.7,-41.5,,-19.6,-143.2,C2+DBM-affected
5470,-43.5,-37.9,-35.4,-19.3,-170.0,C2+DBM-affected
5480,-45.1,-40.8,-37.7,-21.1,-196.1,C2+DBM-affected
5490,-46.2,-40.7,-37.0,-16.7,-187.8,C2+DBM-affected
5560,-45.7,-40.8,,-19.8,-183.6,C2+DBM-affected
5560.5,-45.0,-39.8,-35.2,-20.2,-190.1,C2+DBM-affected
2970,-67.2,,,-13.7,,
3150,-46.0,,,-16.0,,
3570,-46.9,-36.0,,-18.9,-186.0,
4200,-53.4,-35.1,-34.1,-19.2,-169.6,C2+DBM-affected
4370,-47.3,-31.3,,-13.4,,
4410,-48.9,-43.4,-30.0,-14.6,,C2+DBM-affected
4490,-49.0,-43.0,-41.0,-14.1,,C2+DBM-affected
4627,-44.8,,,-15.6,,
4770,-45.9,-39.8,,-16.0,-213.7,
4840,-45.1,-39.5,-34.9,-15.2,,C2+DBM-affected
4995,-45.5,-38.0,-37.0,-15.9,-178.1,C2+DBM-affected
5140,-45.4,-40.0,,-13.7,-169.6,
5205,-42.5,-40.5,,-15.0,,C2+DBM-affected
5270,-42.6,-38.0,-39.0,-17.2,,
5390,-43.2,-32.6,,-17.8,,C2+DBM-affected
3040,-49.6,,,-17.8,,
3270,-56.1,,,-14.1,-220.4,
3450,-55.9,-36.5,-35.2,-18.5,,
4110,-49.0,-33.3,-32.4,-13.1,-163.5,
4290,-49.5,-32.6,-30.5,-16.9,-164.1,
4550,-52.2,,,-16.6,-156.9,C2+DBM-affected
4872.5,,,,,,
4960,-48.7,,,-15.3,,C2+DBM-affected
5055.5,-51.1,,,-14.9,,C2+DBM-affected